Time spent hour,Time spent minutes,Date,Day,Total Time in minutes, ,Activities,Minutes,Hours,Remarks
2,12,5/5/2024,Sunday,132,,total screen time,5390.0,89.8,(From digital well being app)
3,49,5/6/2024,Monday,229,,average screen time,199.6,3.3,
3,1,5/7/2024,Tuesday,181,,other activities,660.0,11.0,left over hours
2,41,5/8/2024,Wednesday,161,,sleep,506.0,8.3,(From health app)
6,52,5/9/2024,Thursday,412,,,,,
5,22,5/10/2024,Friday,322,,,,,
,58,5/11/2024,Saturday,58,,,,,
2,26,5/12/2024,Sunday,146,,,,,
2,49,5/13/2024,Monday,169,,,,,
3,6,5/14/2024,Tuesday,186,,,,,
3,20,5/15/2024,Wednesday,200,,,,,
6,43,5/16/2024,Thursday,403,,,,,
4,16,5/17/2024,Friday,256,,,,,
1,25,5/18/2024,Saturday,85,,,,,
3,37,5/19/2024,Sunday,217,,,,,
2,36,5/20/2024,Monday,156,,,,,
2,24,5/21/2024,Tuesday,144,,,,,
5,7,5/22/2024,Wednesday,307,,,,,
3,16,5/23/2024,Thursday,196,,,,,
2,11,5/24/2024,Friday,131,,,,,
1,9,5/25/2024,Saturday,69,,,,,
4,26,5/26/2024,Sunday,266,,,,,
5,26,5/27/2024,Monday,326,,,,,
2,1,5/28/2024,Tuesday,121,,,,,
3,6,5/29/2024,Wednesday,186,,,,,
3,38,5/30/2024,Thursday,218,,,,,
1,53,5/31/2024,Friday,113,,,,,